 E. Queen Creek and S. Sossaman Rd Queen Creek, AZ 85142
 Red Mountain Park 7745 E Brown Rd Mesa,, AZ 85207
 7745 E Brown Rd. Red Mountain Park Mesa, AZ 85207
 83 W Bethany Home Rd Glendale, AZ 85303
 997 E Pine Knoll Dr Flagstaff, AZ 86001
 1908 W Ruthrauff Rd Tucson, AZ 85719
 10th St. Cottonwood, AZ 86326
 2315 Balboa Dr. Bullhead City, AZ 86442
 400 N. McLane Rd, Payson, AZ 85541
 3400 S. Country Club Tucson, AZ 85713
 1418 N Riverview Blvd Tucson, AZ 85745
 885 E. Schoolhouse Gulch Road Prescott, AZ 86303
 5900 E 14th St Tucson, AZ 85711
 748 S Clark Road Show Low, AZ 85901
 21760 W. Ripple Rd. Buckeye, AZ 85326
 County Road 600 Fort Apache, AZ 85930
 2409 W Sweetwater Ave Phoenix, AZ 85729
 2805 Arizona 260 Heber/ Overgaard, AZ 85928
 112 Murphy St Globe, AZ 85501
 453 E Camino De Tundra Huachuca City, AZ 85616
 669 N Thorpe Rd Flagstaff, AZ 86001
 59th Avenue & Thunderbird Rd. Phoenix (Glendale), AZ 85304
 Quail Trail St. and Teddy Bear Lane Quartzite, AZ 85346
 36340 W Picasso St Maricopa, AZ 85138
 7700 E Roosevelt St Phoenix (Scottsdale), AZ 85257
 2230 Watson Lake Rd Hwy 89 Prescott, AZ 86301
 220 W Water St. Yuma, AZ 85364
 367 Grizzly Bear Rd Lakeside, AZ 85929
 932 N. Woodland Rd. Pinetop-Lakeside, AZ 85929
 Mountain Grove Road Alma, AR 72921
 999 US Highway 64 Alma, AR 72921
 422 Thompson Rd Arkadelphia, AR 71923
 1498 Helberg Lane Ozark, AR 72949
 Arkansas State University Mountain Home 1600 South College Street Mountain Home, AR 72653
 222 North Old Wire Road Avoca, AR 72711
 201 Donaghey Ave University of Central Arkansas Physical Plant Conway, AR 72035
 20 Kinley Dr Conway, AR 73032
 401 Bell Park Rd. Greenwood, AR 72936
 7200 S. Zero St Fort Smith, AR 72903
 Golf Course Loop Fort Smith, AR 72916
 Golf Course Loop Fort Smith, AR 72916
 N Knox Ave Mountain View, AR 72560
 Marcelle Phillips Park 399 E 8th St Booneville, AR 72927
 1700 Shady Grove Rd Hot Springs, AR 71901
 222 Glasgow Rd Bella Vista, AR 72715
 4 Funland Dr North Little Rock, AR 72118
 6 Funland Dr North Little Rock, AR 72118
 142 Kitchen St Lamar, AR 72846
 199 Dierks Rd Hot Springs, AR 71913
 S School St Charleston, AR 72933
 Meadow Place and Parkway Dr. Clarksville, AR 72830
 Archey Fork Rd Clinton, AR 72031
 Cluberhouse Rd Jonesboro, AR 72404
 Forest Park Loop #6 Jonesboro, AR 72401
 2922 S. 1st St. Rogers, AR 72758
 496 Austin Ave Decatur, AR 72722
 791 Hwy 278 West Monticello, AR 71655
 DeGray Lake Resort State Park Bismarck, AR 71929
 Lower Dam Pike Road Turn at Valero station Caddo Valley, AR 71923
 3255 Strawfloor Drive Jonesboro, AR 72404
 3255 Strawfloor Drive Jonesboro, AR 72404
 Park St. Jacksonville, AR 72076
 1400 City Park Rd Van Buren, AR 72957
 800 S. Mockingbird Ln Hope, AR 71801
 2400 S Dallas St Fort Smith, AR 72901
 1680 Sparksford Dr Russellville, AR 72801
 2403 Ritter Dr Jonesboro, AR 72401
 Russell Ferry Rd Batesville, AR 72501
 400 W 3rd St Gentry, AR 72734
 149 Hwy 225 East Greenbrier, AR 72058
 Tall Oaks Loop N. Springdale, AR 72762
 Burks Dr Searcy, AR 72143
 22700 Butterfield Coach Rd Springdale, AR 72764
 718 N Maple Ave De Queen, AR 71832
 1000 South Laredo Ave Russellville, AR 72801
 60 Brookview Dr. Hindman Park Little Rock, AR 72209
 2900 N Salem Rd Fayetteville, AR 72704
 2365 N Rupple Rd Fayetteville, AR 73704
 Hwy 74 Jasper, AR 72641
 1558 Higginson St. Searcy, AR 72143
 2425 Fleming Dr Springdale, AR 72762
 N Silent Grove Dr and Fleming Dr Springdale, AR 72762
 922 E Emma Ave Springdale, AR 72765
 2000 W University St Siloam Springs, AR 72761
 500 Cole Dr Prairie Grove, AR 72753
 1880 Kerr Station Rd Cabot, AR 72023
 1000 South Division Street Lavaca Elementary School Lavaca, AR 72941
 Limestone St and Main St Leslie, AR 72645
 753 N Collins Ave Gentry, AR 72734
 427 Old Wire Rd E London, AR 72847
 S Parkway Dr Crossett, AR 71635
 424 Allen Road Centerton, AR 72719
 500 Lions Club Rd Mena, AR 71953
 2000 W Broadway Ave West Memphis, AR 72301
 Morehart Park Mabelvale, AR 72103
 700 Heber Springs Rd North Heber Springs, AR 72543
 453 Mulberry Hwy 64 Mulberry, AR 72947
 100 E University St Magnolia, AR 71753
 1301 W Johnson St Nashville, AR 71852
 1500 N Hill St Newark, AR 72562
 Milam St Hamburg, AR 71646
 1551 Pioneer Dr Harrison, AR 72601
 1153 E Lake Fayetteville Rd Fayetteville, AR 72764
 1500 Lock and Dam Rd Russellville, AR 72802
 Park Dr Gravette, AR 72736
 410 Ouachita Street Arkadelphia, AR 71998
 375 N. Rupple Rd Owl Creek Elementary School Fayetteville, AR 72704
 20997 Dawn Hill East Rd Gentry, AR 72734
 1710 Walden Dr Ozark, AR 72949
 919 AR-355 Patmos, AR 71801
 1 Fairway Drive Greenbrier, AR 72058
 9311 Old Tom Box Rd Sherwood, AR 72120
 4200 Pleasant View Rd. Russellville, AR 72802
 3201 Jenny Lind Rd Fort Smith, AR 72901
 8321 Cantrell Road Little Rock, AR 72227
 1409 Johnson Rd First Baptist Church Springdale, AR 72762
 W Wilson St. and N. Letitia St. Greenland, AR 72701
 2300 Highland Rd Batesville, AR 72501
 1 Blue Heron Lane Eureka Springs, AR 72631
 6401 Boone Rd Bryant, AR 72022
 3791 Grand Ave Fort Smith, AR 72901
 1537 University Blvd. University of Arkansas Community College Morrilton, AR 72110
 1205 S. Albert Pike Ave Trinity Junior High School Fort Smith, AR 72903
 2300 S. Dixieland Rd. Rogers, AR 72758
 2975 East Township St Fayetteville, AR 72703
 855 S Block Ave Fayetteville, AR 72701
 60 West Fulbright Ave. Walnut Ridge, AR 72476
 860 Airport Rd Huntsville, AR 72740
 540 Dave Creek Parkway Fairfield Bay, AR 72088
 A Street and Hillard Taft, CA 93268
 100 Mulcahey Dr Channel Islands Base, CA 93041
 415 Club House Dr Blue Jay, CA 92317
 24255 Pacific Coast Hwy Malibu, CA 90263
 3752 Rupert Rd. Anderson, CA 96007
 17700 California 253 Boonville, CA 95494
 37825 Hwy 38 Angelus Oaks, CA 92305
 100 Mariner Way Aptos, CA 95003
 Bolivar Dr & Bancroft Way Berkeley, CA 94703
 1033 J St Livingston, CA 95334
 3770 Richardson Dr. Auburn, CA 95603
 16338 Avalon Ave Victorville, CA 92395
 828 Willow Creek Dr Folsom, CA 95630
 1001 Front St Crescent City, CA 95531
 Beattie Dr. Lompoc, CA 93436
 1777 Norton Rd McKinleyville, CA 95519
 Dempsey Drive Benicia, CA 94510
 1301 Al Tahoe Blvd. Bijiou Park South Lake Tahoe, CA 96150
 (Call for directions) Miranda, CA 95553
 7946 Ponderosa Way Black Butte High School Shingletown, CA 96088
 County Road 206 Orland, CA 95963
 7179 Hacienda Way Felton, CA 95018
 16451 Golf Road Cobb, CA 95426
 1200 Vale Terrace Drive Vista, CA 92084
 287 Water St Santa Cruz, CA 95060
